column_name,mean,std,min,max,missing_count
Air Temperature,12.626250420459293,10.434515275388875,-29.78,37.6,75
Wet Bulb Temperature,10.276285790252091,9.403302693481551,-28.9,28.4,75935
Humidity,68.02269103210062,15.634545818040733,0.0,100.0,0
Rain Intensity,0.15894278544959037,1.7941115505122238,0.0,183.6,75935
Interval Rain,0.14238530941621796,1.0969889890238858,-0.9,63.42,0
Total Rain,141.49291506721838,190.46673877892601,0.0,1056.1,75935
Precipitation Type,4.268200475264636,15.59026748579611,0.0,70.0,75935
Wind Direction,140.80276021580426,122.00467507626753,0.0,359.0,0
Wind Speed,2.918790660709464,5.3422001558468795,0.0,999.9,0
Maximum Wind Speed,3.5570877634508298,5.955373819286481,0.0,999.9,0
Barometric Pressure,994.3136466761495,10.029804414249266,0.0,3098.5,146
Solar Radiation,112.35853766640005,842.8589115553344,-100000.0,1277.0,0
Heading,281.95934493244926,142.77689948792158,0.0,359.0,75935
Battery Life,13.163214953461479,1.5446169876934142,0.0,15.3,0
