feature,importance
Air Temperature,0.06376441963030945
Wet Bulb Temperature,0.13093847851119075
Rain Intensity,0.0
Interval Rain,0.0
Total Rain,0.012604006441471862
Wind Direction,0.024794614930229508
Wind Speed,0.0033252679267153037
Maximum Wind Speed,0.011743086632119567
Barometric Pressure,0.028592429152756154
Solar Radiation,0.004658235963878242
Heading,0.005018469954484544
Battery Life,0.1111973801783186
hour,0.015883830239741784
day_of_week,0.010284333210988227
month,0.016314358954789072
year,0.04157129619211072
is_weekend,0.0012235310224091133
Temperature Difference,0.4560613388186122
Wind Speed Squared,0.003315498882369213
Air Temperature (F),0.058709423357505536
